config,netid,rmse,m0,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
16,4,0.011067273,80.0,0.03547066848567531,0.09822646657571624,0.023192360163710776,0.06412005457025921
21,1,0.011430065,120.0,0.034106412005457026,0.09549795361527967,0.019099590723055934,0.06684856753069578
25,1,0.011252116,140.0,0.036834924965893585,0.08458390177353342,0.017735334242837655,0.06002728512960437
26,2,0.011081363,140.0,0.030013642564802184,0.08594815825375171,0.017735334242837655,0.05593451568894952
29,1,0.011383835,160.0,0.03274215552523874,0.08731241473396999,0.019099590723055934,0.0572987721691678
32,4,0.011074225,160.0,0.0286493860845839,0.07776261937244201,0.01637107776261937,0.04911323328785812
33,1,0.01128255,180.0,0.036834924965893585,0.08731241473396999,0.019099590723055934,0.06002728512960437
34,2,0.011014395,180.0,0.02455661664392906,0.07503410641200546,0.015006821282401092,0.05184174624829468
35,3,0.011878596,180.0,0.03547066848567531,0.0941336971350614,0.020463847203274217,0.061391541609822645
36,4,0.011115407,180.0,0.02592087312414734,0.07776261937244201,0.01227830832196453,0.0504774897680764
37,1,0.011225483,200.0,0.034106412005457026,0.08049113233287858,0.01637107776261937,0.05184174624829468
38,2,0.011007025,200.0,0.02455661664392906,0.06957708049113233,0.013642564802182811,0.04911323328785812
39,3,0.01194068,200.0,0.02592087312414734,0.08594815825375171,0.020463847203274217,0.058663028649386086
40,4,0.011043453,200.0,0.02455661664392906,0.07503410641200546,0.013642564802182811,0.05184174624829468
7,3,0.012185758,40.0,0.0791268758526603,0.16371077762619374,0.04911323328785812,0.12278308321964529
