network,rmse,nu,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.011127835889031564,3.0,0.004092769440654843,0.05320600272851296,0.001364256480218281,0.030013642564802184
2,0.012365795604614652,5.0,0.005457025920873124,0.030013642564802184,0.002728512960436562,0.023192360163710776
3,0.011047105998153886,5.0,0.021828103683492497,0.08731241473396999,0.004092769440654843,0.0572987721691678
4,0.011119816196889022,5.0,0.019099590723055934,0.07639836289222374,0.004092769440654843,0.05184174624829468
1,0.011137864161757396,6.0,0.01227830832196453,0.061391541609822645,0.002728512960436562,0.03274215552523874
2,0.011121778970696963,6.0,0.010914051841746248,0.054570259208731244,0.002728512960436562,0.03137789904502047
3,0.011161587466000038,6.0,0.02592087312414734,0.10231923601637108,0.004092769440654843,0.061391541609822645
4,0.011108393608763296,6.0,0.02455661664392906,0.0927694406548431,0.0068212824010914054,0.061391541609822645
1,0.011202609799555107,7.0,0.01227830832196453,0.06002728512960437,0.002728512960436562,0.03137789904502047
2,0.011140085890377764,7.0,0.01637107776261937,0.06412005457025921,0.002728512960436562,0.036834924965893585
3,0.011108523374819435,7.0,0.027285129604365622,0.09549795361527967,0.0068212824010914054,0.061391541609822645
2,0.011186131819288049,3.0,0.005457025920873124,0.054570259208731244,0.001364256480218281,0.030013642564802184
4,0.011097613413233792,7.0,0.023192360163710776,0.08458390177353342,0.0068212824010914054,0.05593451568894952
1,0.011131638436793295,8.0,0.009549795361527967,0.04911323328785812,0.002728512960436562,0.030013642564802184
2,0.01112092011740087,8.0,0.01637107776261937,0.06548431105047749,0.002728512960436562,0.03819918144611187
3,0.011128672438374133,8.0,0.0286493860845839,0.09822646657571624,0.0068212824010914054,0.06412005457025921
4,0.011090057875744857,8.0,0.02455661664392906,0.08594815825375171,0.0068212824010914054,0.05593451568894952
1,0.01126838803087705,9.0,0.010914051841746248,0.04638472032742155,0.002728512960436562,0.030013642564802184
2,0.01111404288155062,9.0,0.017735334242837655,0.07094133697135062,0.005457025920873124,0.03819918144611187
3,0.011058699845137446,9.0,0.02592087312414734,0.08458390177353342,0.0068212824010914054,0.05593451568894952
4,0.011102642174991309,9.0,0.02455661664392906,0.09140518417462483,0.0068212824010914054,0.058663028649386086
1,0.011327864051628425,10.0,0.010914051841746248,0.04365620736698499,0.002728512960436562,0.030013642564802184
3,0.011166075367391675,3.0,0.013642564802182811,0.11186903137789904,0.002728512960436562,0.06002728512960437
2,0.011115102196436692,10.0,0.019099590723055934,0.07503410641200546,0.005457025920873124,0.040927694406548434
3,0.011111774060778614,10.0,0.02592087312414734,0.07366984993178717,0.0068212824010914054,0.0504774897680764
4,0.011102891588048221,10.0,0.02455661664392906,0.08867667121418826,0.008185538881309686,0.0572987721691678
1,0.011143039567188673,20.0,0.01227830832196453,0.04911323328785812,0.002728512960436562,0.030013642564802184
2,0.011112595818361127,20.0,0.013642564802182811,0.05184174624829468,0.005457025920873124,0.030013642564802184
3,0.011123588273711606,20.0,0.027285129604365622,0.08731241473396999,0.010914051841746248,0.058663028649386086
4,0.011121325511305728,20.0,0.02455661664392906,0.08185538881309687,0.008185538881309686,0.05593451568894952
1,0.011114841702471767,30.0,0.01227830832196453,0.04911323328785812,0.004092769440654843,0.030013642564802184
2,0.011241607677796155,30.0,0.019099590723055934,0.0723055934515689,0.005457025920873124,0.03956343792633015
3,0.01105736285008791,30.0,0.02592087312414734,0.07366984993178717,0.008185538881309686,0.05320600272851296
4,0.011080957144967344,3.0,0.013642564802182811,0.09004092769440655,0.002728512960436562,0.05184174624829468
4,0.011151136754213007,30.0,0.02592087312414734,0.08458390177353342,0.013642564802182811,0.05593451568894952
1,0.011129378343498659,4.0,0.008185538881309686,0.05593451568894952,0.002728512960436562,0.030013642564802184
2,0.011360318483170467,4.0,0.0068212824010914054,0.061391541609822645,0.002728512960436562,0.03137789904502047
3,0.011204669035910034,4.0,0.023192360163710776,0.11596180081855388,0.004092769440654843,0.06684856753069578
4,0.01108501491806257,4.0,0.019099590723055934,0.0927694406548431,0.004092769440654843,0.0572987721691678
1,0.011116837903893475,5.0,0.010914051841746248,0.06275579809004093,0.002728512960436562,0.034106412005457026
