network,rmse,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.014204534,0.03547066848567531,0.0941336971350614,0.01227830832196453,0.06002728512960437
10,0.014222174,0.036834924965893585,0.0941336971350614,0.013642564802182811,0.06412005457025921
11,0.0142158205,0.03274215552523874,0.08458390177353342,0.01227830832196453,0.0572987721691678
12,0.014250403,0.036834924965893585,0.09549795361527967,0.013642564802182811,0.06548431105047749
13,0.014262759,0.03819918144611187,0.09959072305593451,0.013642564802182811,0.07094133697135062
14,0.014409539,0.02592087312414734,0.0723055934515689,0.01227830832196453,0.0504774897680764
15,0.014214848,0.017735334242837655,0.08458390177353342,0.0,0.054570259208731244
16,0.014279227,0.002728512960436562,0.0504774897680764,0.0,0.02455661664392906
2,0.014515297,0.017735334242837655,0.0572987721691678,0.008185538881309686,0.040927694406548434
3,0.014206626,0.020463847203274217,0.06821282401091405,0.009549795361527967,0.047748976807639835
4,0.014299201,0.019099590723055934,0.07503410641200546,0.0068212824010914054,0.04911323328785812
5,0.014205418,0.03547066848567531,0.0927694406548431,0.01227830832196453,0.06002728512960437
6,0.014201281,0.03137789904502047,0.08594815825375171,0.01227830832196453,0.05593451568894952
7,0.014202962,0.019099590723055934,0.0791268758526603,0.0,0.0504774897680764
8,0.014225139,0.023192360163710776,0.07776261937244201,0.010914051841746248,0.0504774897680764
9,0.014221097,0.03137789904502047,0.08321964529331514,0.01227830832196453,0.05593451568894952
